Cultivos y cubiertas de suelo,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1040 SEGOVIA,14319.4201,14226.8086,16724.6931,17376.0242,17321.1691,43733.8722,43799.8848,44092.0594,45044.6096,45581.0553,45705.9831,34964.3852,34674.0311,35383.4141,35782.0838,35750.421,35355.2133,35452.3311,36455.8947,36347.5381,36291.8251
1042 SORIA,1346.1663,1346.1663,1346.1663,1367.805,506.3855,5202.6347,5452.4046,5032.2542,5032.2542,5032.2542,5102.0442,5120.5021,5120.5021,12191.2867,12191.2867,12210.7083,12207.5868,12382.1136,13017.6336,13017.6336,5008.1826
1047 VALLADOLID,1944.2834,1931.741,1924.8691,1451.7951,632.4132,2163.3713,2163.3398,2215.0975,2814.0387,2260.7725,2263.7789,2363.7405,2371.7249,2373.3663,2582.7869,2386.4377,3084.7283,3126.4822,2937.5268,3023.6026,3023.606
1049 ZAMORA,48135.8117,47026.3642,49120.3635,49599.3779,64157.0392,71225.2578,71637.672,71891.2643,71384.7431,71301.9973,71377.612,72160.325,72304.2893,72972.3887,72972.6504,72735.686,72148.9207,72980.2643,73378.5829,94858.8977,94839.6046
1128 MADRID,19337.2596,20759.7903,20772.6805,20913.0542,22144.8316,20410.8454,20398.6644,20181.9533,19416.7137,19411.0832,20250.3002,20250.3059,38256.2866,37552.5474,37551.6119,37551.3183,37289.1603,37289.5841,37288.0684,39048.1046,39048.1075
1202 ALBACETE,20383.9698,14872.02,14630.4092,14848.263,15530.6395,16057.6022,16066.9269,16106.514,15993.2317,14870.0453,15255.3189,15356.8936,14623.4758,12190.136,12190.1193,12179.4026,12151.4629,12024.5926,11665.1463,10683.7286,10954.1166
1213 CIUDAD REAL,63663.2657,71872.7873,72952.0072,69716.321,65942.8284,61805.676,63006.5731,63174.675,63220.7511,62703.5414,67355.5416,65986.8233,66001.311,66265.2104,65557.2028,65764.9211,66363.787,92367.1627,92309.6588,92470.1771,92425.3157
1216 CUENCA,3664.2216,22979.3966,23184.717,22105.106,22427.4239,22164.5319,22054.7485,22054.7586,22199.4363,19809.7645,19898.0227,19944.7084,19876.0803,19852.6973,19817.9355,19764.701,19738.5411,17679.8758,19138.3902,19138.5687,18495.6569
1219 GUADALAJARA,14377.7426,24871.2079,22706.0055,22468.1679,19104.8689,19422.9028,19468.8831,19460.9155,24343.5043,22802.4756,22843.0472,22843.0472,25232.168,26796.28,26795.0512,22728.9464,22728.7768,22729.3719,22621.6726,22621.6726,22621.4876
1245 TOLEDO,21875.6313,20827.6437,20686.0496,23068.792,22745.8947,22964.7353,22786.5097,23103.3165,23302.071,29762.0836,29743.2219,29718.487,29718.4718,29724.9107,29725.6264,29711.7899,32966.1403,32843.2216,33719.4894,34343.9748,34022.2323
1303 ALICANTE,51.7858,43.1523,46.07,45.0426,48.3545,42.7183,4692.0953,4692.0953,4692.0953,4692.0953,4690.096,4690.096,4690.096,694.2792,694.2711,694.2711,694.2711,694.2706,694.3971,694.4568,5343.8283
1312 CASTELLON,25572.5594,17951.7469,19855.08,17532.9843,17443.9883,16290.6105,21070.7472,20287.4159,20636.5275,20812.2215,20855.895,20755.3268,20756.2532,20786.4942,39075.3104,39164.2652,39128.4844,39467.8572,40367.1256,40569.9856,40130.1701
1346 VALENCIA,82.9601,163.7875,239.11,155.5773,153.2372,156.126,156.1163,9941.6372,9939.9648,9943.9014,9914.8842,9914.8842,9914.8842,9922.3322,12585.3775,32668.3785,32686.8929,32686.6795,32686.6189,32687.2237,32693.486
"1430 R,DE MURCIA",4.0794,4.0632,4.0632,3.3265,3.2431,3.2431,3.2421,1212.4878,1260.0542,1241.6269,1238.3771,2337.4565,2308.3176,1209.2382,1209.234,9599.583,9601.555,9601.521,9601.521,9601.784,9601.5378
1506 BADAJOZ,181139.5124,176278.4985,172566.6246,170856.6855,169945.5029,175653.4716,140922.4402,141176.6121,140092.3919,141224.7714,140419.4443,140522.8723,145963.7388,146727.1954,133736.9408,134902.3371,135331.4777,137385.3597,137693.3085,137496.2481,139712.13
1510 CACERES,313524.7727,317629.4754,319997.9941,329712.1404,325827.7744,329103.1606,330743.0628,275737.6635,278083.4837,279113.3608,278180.0411,279332.9094,279368.8708,279143.7523,279813.8722,291539.4777,291863.6908,290549.7004,290690.7111,291712.8362,292133.9254
1604 ALMERIA,,,,,,,,,19.2478,80446.9966,80407.4162,80511.4237,80511.4237,80660.5597,80649.1601,80832.3301,109293.7774,109293.7774,109092.5471,109153.5492,109197.7366
1611 CADIZ,15789.2812,15578.5226,17052.609,35152.4486,35528.0289,33263.996,37985.0364,37966.3256,39260.3014,37544.1481,61616.434,62307.5538,62483.6202,64554.3141,64641.1962,64113.0847,64242.6716,62187.7753,62851.2773,62900.3758,62362.8784
1614 CORDOBA,12271.0437,9229.9846,12930.5359,21597.3483,169938.4594,174476.7255,175870.3292,184280.8998,187345.2839,184572.4243,185958.9297,112885.8053,108708.1461,109168.0536,109324.5757,110961.4517,110822.4252,111013.9215,88197.6686,90719.3422,95899.8813
1618 GRANADA,3238.0139,3213.1473,3210.3311,6036.9714,56822.2153,58734.7603,60083.5074,60811.4236,60795.9244,59376.8644,59255.5355,58322.2681,89106.2021,88975.0538,88867.3773,89243.9995,91969.5838,91987.9551,92082.3517,89720.1538,89445.1825
1621 HUELVA,15682.7375,15536.5989,15536.5989,47828.267,47828.267,47828.267,53715.4843,55916.5983,55913.0072,55932.0404,55354.2591,68628.7763,66404.6737,66404.677,66433.7329,66302.6213,66327.4044,66454.7771,74192.9922,74207.9349,74180.6178
1623 JAEN,23099.8281,19986.8017,19990.4657,24933.719,102807.4468,104057.6274,103204.516,103203.7505,102029.8299,102926.841,101877.1952,100207.6987,79504.8377,80169.5082,80043.9787,80038.6618,79418.2836,79382.659,79357.6111,80212.5521,79602.905
1629 MALAGA,8092.072,7312.0817,8322.3858,8971.1673,9190.3469,9581.9326,10768.4728,9679.4459,10546.2905,10600.2018,10618.8469,10753.6804,19371.4779,19213.0637,19181.9826,19086.9839,19061.5163,18673.6993,18686.6487,33365.0832,33360.832
1641 SEVILLA,7251.4474,8656.089,8382.7353,41000.4537,40887.7485,41094.4242,43177.689,40913.0402,40436.4809,38793.4456,51108.3035,51154.3792,52113.5972,51959.0486,51893.1301,51831.5026,51936.9774,51936.9748,54926.2129,55038.6678,55659.6146
1735 PALMAS (Las),1728.2771,5109.182,6022.5705,5973.395,6621.0875,6602.2271,5683.9291,50453.9919,50453.9863,50420.1688,50400.5244,50410.3193,49901.6992,49900.459,78599.1346,78599.1332,78605.3599,78605.3599,78604.4022,78603.151,78516.5059
"1738 Sta,C,TENERIFE",344.5533,944.6228,119.1675,119.1583,119.1583,119.1583,119.1583,14132.7615,14132.7615,14132.7615,14133.8665,14230.5117,14222.5379,19985.4696,19951.3365,19962.6134,19962.6134,19967.8227,19967.2628,19891.8034,6928.4898
0K Superficie forestal,18805893.739900004,19051454.347400002,18964111.7475,18831263.706299998,18569636.891200002,18624042.730800003,18665805.6772,18799919.168799996,18867322.466,18957611.388700005,19013971.5166,19112316.237400003,19271262.237,19299419.599899996,19407717.4533,19424750.2309,19383907.8402,19430472.944199998,19483471.197,19457071.250399996,19447891.869000003
0K055 CHOPO,128049.40019999999,132167.2825,133402.77399999998,134748.3996,135720.08470000004,138827.5767,137191.84559999997,137299.9156,138209.47950000002,136436.1325,134770.4499,134146.0509,127496.83880000001,122652.44110000001,122501.6909,122085.9311,120340.67449999998,118440.19739999999,115998.08859999997,115522.9717,114749.4484
0115 CORUÑA (LA),177.9806,147.1142,208.736,64.2435,66.4531,67.79,56.9117,89.192,109.2778,122.9686,125.7748,120.4142,119.9337,115.2707,108.164,105.0312,91.323,96.4072,97.2061,99.7793,89.5405
0127 LUGO,1373.249,1475.7060999999999,1840.2965,310.495,328.0156,352.4845,340.7616,350.0768,541.7095,553.3148,562.9093,550.6282,551.1237,538.8721,536.0421,531.0974,532.1658,553.1323,539.9971,541.1907,512.0841
0132 ORENSE,824.4602,908.0879,710.2935,167.7825,173.0818,198.3902,211.1795,217.8172,321.0663,327.1011,430.2178,441.7187,439.1791,439.1615,439.0986,432.166,416.2481,411.8556,411.8567,410.8801,277.5212
0136 PONTEVEDRA,24.2638,29.6035,56.3856,4.5543,5.5456,8.9793,5.5724,5.5723,6.0325,5.6287,5.8853,5.0703,5.0707,5.0703,5.0665,13.5543,13.5543,13.5543,13.554,13.5606,13.5594
"0233 P,DE ASTURIAS",607.8817,132.0952,21.3965,,,55.109,159.8421,159.8438,159.8438,166.1893,166.1787,166.1716,166.1716,156.9789,153.2469,152.9622,152.9572,159.4562,159.4562,159.4562,159.4562
0339 CANTABRIA,581.9503,866.6613,713.1994,642.7074,599.185,417.2432,561.9958,371.8958,376.0624,361.464,361.817,361.817,365.6656,383.1435,367.0742,337.6085,337.6282,337.6282,337.6465,337.6293,337.6293
0401 ALAVA,364.7522,735.1208,732.0347,733.1425,731.8237,731.7383,731.7507,731.4535,731.8206,731.8206,726.8644,726.8644,726.8646,727.3615,739.7914,750.0124,749.9726,750.1317,749.3952,750.3341,750.3341
0420 GUIPUZCOA,98.0801,131.48,206.7413,131.48,131.48,131.48,131.48,247.13,247.0195,247.0195,275.1209,275.1209,275.1209,267.9621,247.3992,247.3808,247.4044,246.9749,247.388,247.388,247.388
0448 VIZCAYA,163.1566,279.1558,547.4343,141.9278,86.427,86.4256,85.28,85.28,85.28,85.28,76.1788,76.1788,76.1788,76.1788,88.6207,88.6207,88.6185,88.6304,88.624,88.624,88.624
0531 NAVARRA,2836.6275,2532.8162,2722.8558000000003,3072.6989,3145.5145,2925.4684,2995.88,2956.6712,3066.2388,3159.6421,3041.1098,3001.3417999999997,2887.7046,2541.6043,2426.7138999999997,2370.5217000000002,2353.6059999999998,1734.4995999999999,1901.0371,1886.9932000000001,2017.0113999999999
0626 LA RIOJA,3830.6471,3947.6504,3452.1962000000003,5026.8519,5067.78,5015.4236,5129.9768,4913.0881,5042.1388,5080.4335,5048.0380000000005,5032.5788,4922.2662,5085.1911,5520.8813,5516.0421,5500.1544,5182.099700000001,5116.0381,4971.9021,4909.1221
0722 HUESCA,1102.1163,692.0461,971.4729,1183.9844,972.0486000000001,870.9372,860.405,921.4863,1152.2506,1000.4088,986.2374,973.7852,965.706,952.3592000000001,952.3683,907.7097,953.3316,953.3306,1001.2518,995.2040999999999,884.2595
0744 TERUEL,3918.2061999999996,4023.4233000000004,3631.7708000000002,2899.0658000000003,2718.1526000000003,4891.1667,4698.1772,5401.6999,5334.1096,5176.7814,5172.6897,5218.5882,5121.5477,2737.8271,2436.2947999999997,2430.3612000000003,2323.6612,2373.4361,2417.6166000000003,2406.5978,2243.1564
0750 ZARAGOZA,4763.2464,3904.9123,3277.2513,2958.4683,3025.4782999999998,3301.9564,3750.4299,3159.5955999999996,3017.5518,3392.4465,3117.5994,3134.3334999999997,2965.0871,2802.8,2533.8977,2412.7327999999998,2299.7699000000002,2344.2995,2443.2698,2558.7102999999997,2721.5103
0808 BARCELONA,105.1152,2619.5639,1508.2326,1517.431,528.9347,366.3286,392.1645,318.7176,348.82640000000004,401.05670000000003,457.5984,438.89820000000003,433.18670000000003,440.1751,440.2135,328.97319999999996,328.97290000000004,329.1435,315.7325,315.73429999999996,315.7156
0817 GIRONA,3867.6209,4025.2687,6016.3229,5744.2718,5677.3148,6195.951,5763.5609,5320.7005,5898.5317,5165.059499999999,4881.2455,5331.8047,5449.7441,5230.8634,5359.4547999999995,5601.826,5626.38,5364.2382,4971.218699999999,5048.0254,5508.3829000000005
0825 LLEIDA,1088.4699,1093.5445,1084.5882,961.3359,1041.4527,1026.6046000000001,1014.7754,1003.0283,986.5527,882.4603,978.9083,753.8833000000001,752.6726,731.6551000000001,735.238,730.5532999999999,730.5083999999999,723.6975,622.1671,646.653,652.1676
0843 TARRAGONA,52.5321,52.5788,50.171,59.3326,59.3326,64.0779,64.0779,64.0495,60.7057,16.4347,16.4671,16.4639,16.4639,16.4639,16.8807,16.8807,16.8793,15.8278,14.5944,14.5948,14.5948
0907 BALEARES,8.7111,8.7111,8.7111,23.3055,23.3055,33.694,31.7881,31.7881,33.0396,27.351,27.627,27.6257,27.6257,27.6257,27.6259,26.4271,24.3789,24.3789,23.1148,23.1148,23.1148
1005 AVILA,2456.4961000000003,2517.227,1966.9701,1782.4023000000002,1258.4132,1262.9316,1262.9316,1274.5128,1274.5128,1279.9449,1208.7444,1172.3297,1314.2282,1323.3488,1323.3599,1318.912,1318.9123,1318.9156,1706.9661,1706.9661,1706.9661
1009 BURGOS,10697.1201,10682.2132,10853.960500000001,9748.2001,10191.7712,9753.9367,9854.8613,9916.4944,9723.0948,9532.004,9725.1785,9571.9113,9697.3129,9317.761999999999,9902.553899999999,9907.0004,9878.0048,9702.5063,7697.570000000001,7536.411700000001,7571.9863000000005
1024 LEON,31469.7368,32110.3046,32315.453,37056.777500000004,37413.028900000005,36984.438200000004,37577.3203,37676.644,38007.186,38068.9249,37757.632600000004,37894.8196,38051.2253,36459.4569,36360.6385,35743.3915,34459.995,34185.9247,33958.2768,34319.1939,33745.2829
1034 PALENCIA,8926.3336,8921.9591,8662.38,8792.9154,8631.2932,8902.6735,8809.5172,8747.2004,8531.6579,8234.5708,8076.832700000001,8051.7372,7836.293000000001,7428.031499999999,7428.0419,7927.6799,7746.805200000001,7826.0667,6579.7815,6095.2494,6090.2575
1037 SALAMANCA,2308.1537,2294.8435,2477.6345,2339.8363,2209.5313,2181.2201999999997,1872.5333,1883.0332,1812.7849,1055.1322,1062.7377,992.4345,930.2631,1424.3058999999998,1309.8976,1265.2626,1263.5982,1242.7606999999998,1021.0878,1015.4672,1050.6974
1040 SEGOVIA,6341.0297,5640.461,6319.4184,7714.9052,7827.9689,8873.0103,8036.617,8021.754599999999,7980.9798,7854.4179,7806.0598,7541.556500000001,7643.5995,7605.234799999999,7594.3123000000005,7587.1242999999995,7586.921,7578.516,7981.0758,7782.4005,7780.8033
1042 SORIA,8828.1138,8482.7658,9229.7722,9433.3528,9612.6691,8438.9596,8114.961799999999,8069.5401,8027.4203,8159.4562000000005,8141.5556,8123.2402999999995,8083.4943,7840.0353,7609.8557,7577.6147,7518.5158,7449.0638,7611.3330000000005,7630.1328,7070.3847000000005
1047 VALLADOLID,4763.159100000001,4420.8655,4012.7142,3708.5262000000002,4085.5589,4091.18,3927.4449,3792.6993,3854.8401000000003,3495.1892000000003,2888.3038,2616.7046,2619.4263,2627.8974,2673.1911,2677.2248,2590.4743,2523.3115,2097.9356000000002,1990.3482,1936.2228
1049 ZAMORA,7399.422199999999,7771.932699999999,7988.321199999999,6682.370800000001,6369.888599999999,6324.3457,5904.3207999999995,6118.414699999999,6000.2942,5979.6051,5960.2964,5984.9228,5344.6848,5317.3868999999995,5287.9491,5163.7195,5204.3519,5117.2895,5507.0897,5469.7481,5575.9205999999995
1128 MADRID,2375.6016999999997,2609.8948,2417.3253999999997,2110.0489,1863.8626000000002,3311.9536,3301.2513999999996,3262.6964,3510.8657999999996,3492.697,3469.7711999999997,3500.0861,1373.5119,1402.2402,1403.4351,1420.0247,1418.3713,1434.8263,1145.9847,1243.2517,1243.2456
1202 ALBACETE,1584.9627,1520.1452,1456.6688,952.3866,1023.8573,1175.5697,1066.3616000000002,1236.4581,1268.6677,1365.2196,1322.1,1237.2014,1309.2063,1268.5498,1276.1747,1280.2416,1224.2436,1224.238,1222.3599,1091.5697,1012.0446999999999
1213 CIUDAD REAL,190.4573,172.25799999999998,235.09320000000002,314.02119999999996,231.8574,225.9836,221.4259,1918.0739999999998,1939.7395,2002.8089,1967.6575,1967.6539,264.228,248.7986,248.7984,238.1401,230.5315,213.1097,258.9615,237.7557,241.5072
1216 CUENCA,2054.3307,2443.6708000000003,2452.9616,2414.5025,2426.8481,2428.4069,1757.9165,1778.3223,1618.0695999999998,1684.4728,1696.1486,1704.3636000000001,1684.6946,1663.112,1688.5359999999998,1663.1311,1721.9737,1749.6959,1535.4082999999998,1502.3118,1567.932
1219 GUADALAJARA,3563.5957,4140.4224,4202.910800000001,4451.6228,4816.9619,5044.6625,4958.1756000000005,4793.452300000001,4827.8697,4819.430600000001,4803.1873000000005,4845.5695000000005,4343.2996,4604.5668,4578.1654,4709.858,4664.2782,4698.8092,4837.1909000000005,4708.4369,4708.3985999999995
1245 TOLEDO,338.8495,252.3389,320.2046,1102.2044999999998,871.5614,817.1183,975.6404,901.4402,821.3079,820.8267,825.1645,1370.7302,1431.7678,1527.9649,1528.0016,1525.99,1542.5649,1468.9079,1511.7163,1511.7163,1536.1524
1303 ALICANTE,,,449.99,1083.3098,965.5929,900.0934,1109.9276,1102.1632,1102.1721,824.3340999999999,823.9830000000001,833.3219,833.3219,833.3219,833.3121,833.3091000000001,833.3091000000001,833.3085,819.8648,814.2225,813.7038
1312 CASTELLON,,807.0884,877.0,920.0166,909.8993,904.542,884.0523000000001,884.0523000000001,884.0512,884.0512,898.4074,898.5697,884.6419,884.6413,827.5621,827.5621,827.5621,829.9067,810.9168999999999,849.8319,849.7794
1346 VALENCIA,,12.1544,692.47,776.4807999999999,764.0339,770.1433,771.6736999999999,774.2927999999999,783.3234,767.6213,760.8168000000001,759.6379000000001,879.4368000000001,884.4293,881.0233999999999,969.3217,963.3453,963.3388000000001,883.0517,906.2614,878.2666999999999
"1430 R,DE MURCIA",106.8963,106.8963,106.8963,101.9129,101.9129,101.9129,118.2226,18.1643,18.1643,18.1643,18.1642,18.1642,18.1642,22.4085,22.4084,22.4084,22.413,22.413,22.413,22.4136,22.413
1506 BADAJOZ,14.7675,9.519,26.0437,84.8044,35.3334,94.5737,109.3498,82.5538,81.7752,252.7395,114.9009,150.6775,178.9086,174.2566,172.7674,172.775,172.775,168.1867,150.7259,150.741,150.741
1510 CACERES,2306.8645,2009.8082,2088.0454,1041.7279,1262.2526,1220.5508,1467.5644,1169.5634,1150.7865,1467.2197,1815.21,1412.9679,1343.3955,1355.5765999999999,1338.6075,1347.0321,1174.715,1156.6649,996.4397,988.1958,942.1302000000001
1604 ALMERIA,39.5488,714.67,714.67,,,,,,,5.4865,5.4676,5.4676,,,,,,,,,
1611 CADIZ,,,,,,3.9576,3.9576,3.9576,9.3284,3.9576,3.9847,3.9847,3.9847,3.9847,3.9849,3.9849,3.9849,3.985,3.985,3.985,3.985
1614 CORDOBA,139.4581,139.4581,308.165,295.4223,481.9262,586.716,616.5267,616.5267,616.5267,605.3697000000001,605.3697000000001,660.2486,595.5592,582.7692000000001,582.766,582.7664,582.7451,552.9289,839.8371,839.9067,834.6853
1618 GRANADA,5006.9920999999995,5247.7404,4211.2077,4866.7381000000005,6623.3903,6513.8852,6508.9724,6257.7608,6091.3026,5860.7577,5484.0598,5220.4988,3610.9165000000003,3619.377,3542.3538,3352.1815,3636.823,3506.8474,4108.2558,4308.7477,4371.3778999999995
1621 HUELVA,281.275,278.6568,278.6568,128.2555,128.2555,128.2555,128.2555,128.2555,128.2555,128.2555,128.8059,,,,,,,,,,
1623 JAEN,716.3432,788.19,465.7514,758.1397999999999,758.1348,747.6478999999999,750.9237,419.90200000000004,429.98879999999997,678.8718,749.4504,761.9721999999999,761.9671000000001,764.4264000000001,757.9271,775.7881,775.8247,775.8325,702.4676,765.1055,763.1632999999999
1629 MALAGA,159.62689999999998,275.0604,511.9986,413.525,442.0405,288.8387,95.1302,91.8057,91.8057,88.8465,89.0841,89.0841,89.0841,89.0841,89.0766,89.075,86.1715,86.1716,77.0585,77.0585,77.0585
1641 SEVILLA,191.1979,191.1979,,,,8.8208,,,93.5558,91.801,91.8125,91.8125,91.8147,91.8147,91.8125,92.8449,92.844,92.844,428.0646,428.0646,428.0646
1735 PALMAS (Las),,,,,,,,11.0942,11.0942,11.0942,11.0947,11.0947,11.0947,11.0947,11.1054,11.1054,11.1054,11.1054,11.1054,11.1054,11.1054
"1738 Sta,C,TENERIFE",,,,30.9143,30.9143,,,,,,,,,,,,,,,,
0K057 PAWLONIA,,,,,,,,,,,,,,814.2751999999999,1210.0966,1240.5704999999998,1153.8261000000002,1729.7880999999998,1376.0038999999997,1402.6005,1289.1152
0115 CORUÑA (LA),,,,,,,,,,,,,,3.8896,4.1108,4.1108,4.1108,4.0458,4.0458,0.2233,0.2237
0626 LA RIOJA,,,,,,,,,,,,,,13.5993,7.2744,7.2744,7.2746,7.2753,9.6282,9.6282,9.6272
0722 HUESCA,,,,,,,,,,,,,,5.3437,5.3437,5.5155,5.5157,13.4637,17.9722,17.9722,17.9722
0744 TERUEL,,,,,,,,,,,,,,11.8029,11.8025,11.8025,11.8025,11.8029,11.8029,11.8028,11.8028
0750 ZARAGOZA,,,,,,,,,,,,,,1.9192,100.0889,100.0889,100.0906,100.0927,142.9061,142.9061,50.9364
0825 LLEIDA,,,,,,,,,,,,,,3.6042,3.6089,3.6089,3.6086,3.6083,2.6595,2.6595,10.7679
0843 TARRAGONA,,,,,,,,,,,,,,25.0066,25.0069,25.0069,19.7019,19.7043,50.9761,69.3997,84.0002
0907 BALEARES,,,,,,,,,,,,,,9.7484,62.1721,62.1721,67.0961,67.4253,67.4253,68.842,63.0517
1202 ALBACETE,,,,,,,,,,,,,,171.4814,80.7625,77.0193,77.0245,77.2134,38.0869,38.0902,38.0908
1213 CIUDAD REAL,,,,,,,,,,,,,,109.4739,109.4738,110.9923,110.99,110.99,110.9877,110.9883,110.9955
1216 CUENCA,,,,,,,,,,,,,,80.1863,80.1828,80.1736,,,,,
1245 TOLEDO,,,,,,,,,,,,,,,270.3017,270.3006,270.3029,856.2578,465.1228,483.1941,483.1561
1303 ALICANTE,,,,,,,,,,,,,,135.8161,142.6878,166.4507,164.0614,164.0614,155.5107,155.5241,160.1805
1312 CASTELLON,,,,,,,,,,,,,,61.6969,91.0654,91.0654,91.0654,91.1875,51.7583,52.0963,52.0932
1346 VALENCIA,,,,,,,,,,,,,,148.3707,158.1836,165.1338,161.3219,160.5338,189.6691,198.0004,180.6445
"1430 R,DE MURCIA",,,,,,,,,,,,,,,25.6948,27.5188,27.5244,27.5243,42.8505,27.5252,1.8244
1614 CORDOBA,,,,,,,,,,,,,,32.336,32.336,32.336,32.3348,14.6016,14.6018,13.7481,13.7481
0K058 ENCINA TRUFERA,,,,,,,,,,,,,,8533.381700000002,10265.5941,11488.917599999999,12644.121999999998,14389.036799999998,16063.1788,17090.9543,19261.2958
0401 ALAVA,,,,,,,,,,,,,,350.2093,,,,,351.1727,424.6416,161.1219
0448 VIZCAYA,,,,,,,,,,,,,,2.1219,,,,,3.2809,3.2809,3.2809
0531 NAVARRA,,,,,,,,,,,,,,257.1284,257.1288,257.136,128.0016,128.0031,128.0031,128.0031,266.2621
0626 LA RIOJA,,,,,,,,,,,,,,115.5351,115.5301,115.5299,163.8751,163.8916,163.8916,163.8916,163.8755
0722 HUESCA,,,,,,,,,,,,,,570.0233,1340.2152,1573.0955,1813.1983,1823.5562,1816.0819,1817.2112,1952.2368
0744 TERUEL,,,,,,,,,,,,,,4687.8531,4870.6902,5085.9786,5688.8031,6826.8467,7743.6472,7889.417,9480.5284
0750 ZARAGOZA,,,,,,,,,,,,,,13.6108,317.6649,305.5928,305.5979,315.3753,555.7307,573.2346,724.517
0808 BARCELONA,,,,,,,,,,,,,,143.752,143.7645,219.6278,219.6278,219.7417,219.7715,240.6528,245.6498
0825 LLEIDA,,,,,,,,,,,,,,61.4451,61.5258,61.5248,61.5207,61.5148,60.2844,334.129,334.1332
0843 TARRAGONA,,,,,,,,,,,,,,96.9756,96.9765,96.9765,96.9682,96.9801,96.9811,96.9844,96.9844
1009 BURGOS,,,,,,,,,,,,,,,,40.8372,57.9546,130.9316,65.3145,65.3138,65.3139
1037 SALAMANCA,,,,,,,,,,,,,,,,,,,174.8594,174.8401,174.8401
1042 SORIA,,,,,,,,,,,,,,1478.6529,1489.1203,1498.3491,1823.2069,1909.8449,1909.8581,2276.7788,2439.7187
1202 ALBACETE,,,,,,,,,,,,,,57.7497,57.7496,57.7496,57.7535,57.7532,28.8819,28.8845,72.4435
1216 CUENCA,,,,,,,,,,,,,,130.0045,129.9973,129.9825,143.3398,181.4661,151.6723,175.0772,175.0772
1219 GUADALAJARA,,,,,,,,,,,,,,18.503,18.5021,485.2124,475.9473,688.8,712.7195,714.3476,818.0699
1245 TOLEDO,,,,,,,,,,,,,,,,,,,,,16.7225
1312 CASTELLON,,,,,,,,,,,,,,549.817,1366.7288,1404.386,1451.3883,1513.3121,1590.7441,1653.7158,1682.3129
1346 VALENCIA,,,,,,,,,,,,,,,,27.1482,27.1482,27.148,27.148,75.12,224.9328
1506 BADAJOZ,,,,,,,,,,,,,,,,129.7907,129.7907,129.7907,149.0686,149.0836,19.2814
1618 GRANADA,,,,,,,,,,,,,,,,,,114.0807,114.0673,106.3467,106.3467
1623 JAEN,,,,,,,,,,,,,,,,,,,,,37.6462
0K060 CONIFERAS,6075064.441100002,6107650.637000001,6136181.0633999985,5916556.371599999,5866686.193600002,5792193.2080000015,5754867.6918,5583329.498999999,5506834.699999998,5511628.458199999,5514216.630300001,5462426.4567,5545418.513899999,5547348.834199999,5574899.713300002,5608668.4205,5623099.7499,5628201.618999999,5650938.496900001,5611328.993699999,5621940.555699999
0115 CORUÑA (LA),56210.2568,65851.5465,80277.4014,77579.1549,77298.6522,77635.4983,78151.0033,78009.5285,72352.1094,72748.6401,72803.9969,72138.2521,71402.1698,70822.3974,70388.2182,68036.1943,66735.3959,65822.5172,65626.2663,62177.5047,63460.4088
0127 LUGO,127888.5,125915.371,116344.9816,128551.4377,129386.5405,129543.7916,129736.2227,128902.2609,131781.1314,130850.7388,130541.1547,129477.0016,128435.0342,128060.6153,127360.7973,126724.6126,126110.3411,120281.6795,119558.3321,117938.2364,116415.3424
0132 ORENSE,66980.2463,72583.4461,62499.0083,69224.6737,69453.3849,68989.756,69298.1742,68362.3357,74970.4164,74975.3172,75220.2194,75282.7938,75323.3101,75307.1573,75288.3033,75301.6126,75190.998,75160.6188,75151.4512,75060.0868,74867.198
0136 PONTEVEDRA,28547.9258,36168.0171,54450.5228,48142.5175,48702.7401,48959.4186,48803.2524,48687.0976,44424.3044,44030.3298,43202.0625,43181.0236,42884.2785,42731.5047,42632.4743,42255.0652,42280.9239,42111.3236,41317.1453,41144.2748,41438.8935
"0233 P,DE ASTURIAS",84930.2695,93358.4567,52140.0494,50190.2432,50108.3094,50035.1775,33055.0609,34286.2637,34580.2721,34493.8029,34152.4453,34159.8213,34165.3038,33966.0483,37625.4877,36881.4764,37614.3773,37131.0424,37000.571,37156.3191,35772.7467
0339 CANTABRIA,91871.2312,22821.468,24084.9289,24081.9167,24063.6375,26485.6666,26310.0913,10055.9185,10271.5116,10270.7371,10280.7735,10010.218,10107.1919,10107.1919,13845.9383,13828.8961,14042.2013,14033.5785,13875.4425,13874.7396,13908.5385
0401 ALAVA,4394.8301,10009.7206,9775.4366,8683.9799,8747.0495,8751.6435,8611.6463,8580.7236,8579.7864,16242.9492,8560.3459,8552.5404,16167.7015,8561.1427,8564.5329,8551.6477,8551.2449,8553.1202,8554.9978,8601.9563,8599.9078
0420 GUIPUZCOA,27241.8267,63829.2483,65943.743,66330.704,65029.3266,64901.6848,64997.9464,65232.141,65222.6271,70998.8041,73131.3384,73293.8287,78963.9782,72981.374,65336.6099,65469.5849,65480.7795,65358.5445,65391.735,64660.7545,64677.2001
0448 VIZCAYA,51355.9757,76995.956,78849.5339,78074.0149,80157.9274,79696.9324,79591.8696,80111.7135,77727.6733,84810.6298,69354.191,69374.4743,76216.7122,68347.4466,76454.4138,76432.4802,76427.3431,76462.6169,76520.3309,76281.6752,70630.3931
